epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,3551.39,0.94963,0.5053,0.85761,0.62309,0.34621,0.38859,0.2107,1.24404,0.63909,0.92638,0.00800963,0.00800963,0.00800963
150,3575.66,0.95251,0.50203,0.85756,0.60751,0.34836,0.38482,0.20841,1.25052,0.6374,0.92429,0.00798464,0.00798464,0.00798464
151,3598.94,0.95149,0.50247,0.85728,0.60573,0.35049,0.38212,0.20748,1.24435,0.63056,0.92498,0.00795954,0.00795954,0.00795954
152,3623.02,0.95718,0.50415,0.85655,0.60468,0.34679,0.37999,0.2053,1.25005,0.64014,0.92703,0.00793432,0.00793432,0.00793432
153,3646.27,0.9483,0.50019,0.85516,0.60519,0.3495,0.38498,0.2076,1.24269,0.63281,0.92537,0.00790898,0.00790898,0.00790898
154,3670.41,0.95417,0.50152,0.85737,0.6225,0.34817,0.38536,0.20795,1.24594,0.62355,0.92773,0.00788354,0.00788354,0.00788354
155,3693.54,0.94897,0.50177,0.85563,0.62091,0.34669,0.38781,0.21065,1.24124,0.63226,0.9267,0.00785798,0.00785798,0.00785798
156,3717.33,0.95345,0.50524,0.85752,0.61438,0.34751,0.38275,0.20728,1.24384,0.63566,0.92448,0.00783231,0.00783231,0.00783231
157,3741.29,0.95543,0.50251,0.85657,0.6161,0.34933,0.38834,0.21145,1.23857,0.63311,0.92529,0.00780653,0.00780653,0.00780653
158,3765.33,0.94729,0.49959,0.85671,0.605,0.35179,0.38208,0.20602,1.23851,0.62326,0.92176,0.00778065,0.00778065,0.00778065
159,3789.37,0.94541,0.50048,0.85458,0.61224,0.35252,0.3875,0.2095,1.23892,0.62886,0.9242,0.00775465,0.00775465,0.00775465
160,3813.66,0.94545,0.49992,0.85573,0.61046,0.34566,0.38452,0.20906,1.2405,0.63148,0.92723,0.00772855,0.00772855,0.00772855
161,3836.87,0.94465,0.49628,0.85525,0.61524,0.35208,0.38722,0.21143,1.22871,0.62477,0.92263,0.00770234,0.00770234,0.00770234
162,3860.93,0.94023,0.49587,0.85385,0.63477,0.34655,0.38834,0.21019,1.23197,0.62646,0.92304,0.00767603,0.00767603,0.00767603
163,3885.17,0.94041,0.49788,0.855,0.61934,0.35244,0.38889,0.21184,1.23315,0.62171,0.92198,0.00764961,0.00764961,0.00764961
164,3908.46,0.94338,0.4975,0.8556,0.61031,0.3535,0.38558,0.20876,1.23459,0.62214,0.92196,0.0076231,0.0076231,0.0076231
165,3932.65,0.94336,0.49909,0.8558,0.61718,0.35273,0.38942,0.21137,1.23655,0.63447,0.92249,0.00759648,0.00759648,0.00759648
166,3956.01,0.9403,0.49662,0.85605,0.62114,0.34862,0.38563,0.20885,1.23704,0.62551,0.92331,0.00756976,0.00756976,0.00756976
167,3980.33,0.93197,0.49537,0.85298,0.61031,0.35504,0.38527,0.20888,1.23241,0.62014,0.92407,0.00754293,0.00754293,0.00754293
168,4003.64,0.94207,0.49575,0.85497,0.61271,0.35305,0.38831,0.21166,1.22855,0.62229,0.92195,0.00751602,0.00751602,0.00751602
169,4027.75,0.93249,0.49406,0.85406,0.60974,0.35371,0.39337,0.21403,1.22949,0.62527,0.92343,0.007489,0.007489,0.007489
170,4050.96,0.93242,0.49331,0.85475,0.6109,0.35519,0.38999,0.21221,1.23084,0.62123,0.92352,0.00746189,0.00746189,0.00746189
171,4075.24,0.93247,0.49455,0.85378,0.60947,0.35699,0.39418,0.21264,1.23592,0.62867,0.92368,0.00743468,0.00743468,0.00743468
172,4098.41,0.93259,0.49032,0.85347,0.614,0.35573,0.39026,0.21221,1.23043,0.62015,0.9223,0.00740738,0.00740738,0.00740738
173,4121.62,0.93608,0.49419,0.85364,0.61874,0.34998,0.38746,0.21063,1.23076,0.62447,0.92041,0.00737998,0.00737998,0.00737998
174,4144.8,0.93373,0.49144,0.85316,0.61864,0.354,0.39194,0.21238,1.23536,0.62113,0.925,0.0073525,0.0073525,0.0073525
175,4168.32,0.92766,0.49366,0.85208,0.61523,0.35615,0.39016,0.21077,1.2403,0.62414,0.925,0.00732492,0.00732492,0.00732492
176,4192.4,0.93177,0.49281,0.85411,0.61779,0.35268,0.38766,0.21008,1.23473,0.62346,0.9232,0.00729725,0.00729725,0.00729725
177,4215.76,0.93067,0.49241,0.85395,0.6225,0.353,0.38941,0.21148,1.22741,0.62024,0.91909,0.0072695,0.0072695,0.0072695
178,4240.12,0.92359,0.48915,0.8523,0.62341,0.35276,0.39007,0.21127,1.22902,0.62013,0.92233,0.00724165,0.00724165,0.00724165
